City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Longyearbyen,SJ,2022-04-03 21:00:56,78.2186,15.6401,8.44,52,20,20.71
195,Chumikan,RU,2022-04-03 21:00:56,54.7183,135.315,26.04,96,100,11.45
196,Coquimbo,CL,2022-04-03 21:00:56,-29.9533,-71.3436,65.03,73,3,11.12
197,Shaowu,CN,2022-04-03 21:00:57,27.3409,117.4831,49.12,77,7,1.5
198,Thisted,DK,2022-04-03 21:00:57,56.9552,8.6949,43.09,3,100,23.22
199,Fereydun Kenar,IR,2022-04-03 21:00:57,36.6864,52.5225,67.21,53,0,9.69
200,Miyako,JP,2022-04-03 21:00:58,39.6367,141.9525,44.42,88,100,6.06
201,Nusaybin,TR,2022-04-03 21:00:58,37.0778,41.2178,62.08,44,100,6.17
202,Nuuk,GL,2022-04-03 21:00:58,64.1835,-51.7216,36.88,87,0,11.99
203,Tamandare,BR,2022-04-03 21:00:58,-8.7597,-35.1047,78.35,83,16,8.79
204,Shieli,KZ,2022-04-03 21:00:59,44.1667,66.75,62.55,28,35,5.01
205,Buala,SB,2022-04-03 21:00:59,-8.145,159.5921,79.34,82,100,5.53
206,Chicama,PE,2022-04-03 21:00:59,-7.8447,-79.1469,77.83,63,55,10.6
207,Pangnirtung,CA,2022-04-03 21:01:00,66.1451,-65.7125,26.91,92,100,3.78
208,Ewa Beach,US,2022-04-03 20:58:43,21.3156,-158.0072,80.44,60,75,13.8
209,Kiunga,PG,2022-04-03 21:01:00,-6.1219,141.2906,72.54,96,32,1.1
210,Fare,PF,2022-04-03 21:01:00,-16.7,-151.0167,81.81,74,46,11.81
211,Dunedin,NZ,2022-04-03 21:01:01,-45.8742,170.5036,56.8,72,95,3.0
212,Rudnyy,KZ,2022-04-03 21:01:01,52.9594,63.1206,38.73,85,100,12.06
213,Cherskiy,RU,2022-04-03 21:01:01,68.75,161.3,-1.48,96,100,4.5
214,Namatanai,PG,2022-04-03 21:01:02,-3.6667,152.4333,79.59,83,98,2.44
215,Buta,CD,2022-04-03 21:01:02,2.7858,24.73,70.68,95,75,3.24
216,Rudbar,AF,2022-04-03 21:01:02,30.15,62.6,75.9,12,2,7.09
217,Kruisfontein,ZA,2022-04-03 21:01:03,-34.0033,24.7314,59.88,82,93,4.68
218,Nizhniy Chir,RU,2022-04-03 21:01:03,48.3597,43.0865,50.54,76,67,21.34
219,Lompoc,US,2022-04-03 21:01:03,34.6391,-120.4579,72.7,76,100,11.99
220,Mundo Novo,BR,2022-04-03 21:01:04,-11.8589,-40.4725,78.78,54,82,6.87
221,Darhan,MN,2022-04-03 20:56:32,49.4867,105.9228,33.01,68,74,4.21
222,Roald,NO,2022-04-03 21:01:06,62.5833,6.1333,38.75,100,100,6.91
223,Nahavand,IR,2022-04-03 21:01:06,34.1885,48.377,60.22,27,100,4.45
224,Henties Bay,NA,2022-04-03 21:01:07,-22.116,14.2845,61.56,84,0,6.73
225,Flin Flon,CA,2022-04-03 21:01:07,54.7682,-101.865,34.21,82,100,6.91
226,Yerbogachen,RU,2022-04-03 21:01:07,61.2767,108.0108,5.18,95,95,6.73
227,Juneau,US,2022-04-03 21:00:26,58.3019,-134.4197,40.21,100,100,11.99
228,Chuy,UY,2022-04-03 21:01:31,-33.6971,-53.4616,68.99,75,95,8.7
229,Ponta Do Sol,PT,2022-04-03 21:02:08,32.6667,-17.1,61.72,75,100,14.0
230,Wilmington,US,2022-04-03 21:01:51,34.2257,-77.9447,75.11,22,0,9.22
231,Umm Lajj,SA,2022-04-03 21:02:08,25.0213,37.2685,82.24,34,99,5.93
232,Havre-Saint-Pierre,CA,2022-04-03 21:02:09,50.2334,-63.5986,37.76,65,0,13.8
233,Gamba,GA,2022-04-03 21:02:09,-2.65,10.0,77.36,94,100,2.89
234,Beni,CD,2022-04-03 21:02:10,0.5,29.4667,63.12,97,27,2.04
235,Arraial Do Cabo,BR,2022-04-03 21:02:10,-22.9661,-42.0278,77.11,88,13,9.75
236,Bontang,ID,2022-04-03 21:02:10,0.1333,117.5,74.43,88,100,4.23
237,Yining,CN,2022-04-03 21:02:11,29.0361,114.5636,52.18,81,98,1.81
238,Singleton,AU,2022-04-03 21:02:11,-32.5667,151.1833,61.99,87,5,5.99
239,Hirara,JP,2022-04-03 21:02:12,24.8,125.2833,68.76,67,96,23.67
240,Comodoro Rivadavia,AR,2022-04-03 21:00:01,-45.8667,-67.5,61.54,35,10,19.33
241,Chapais,CA,2022-04-03 21:02:12,49.7834,-74.8492,32.14,86,100,5.59
242,Rockland,US,2022-04-03 21:02:12,41.1668,-74.0496,46.31,90,100,1.01
243,Bucerias,MX,2022-04-03 20:57:41,20.75,-105.3333,81.66,54,4,9.17
244,Korla,CN,2022-04-03 21:00:29,41.7597,86.1469,56.61,23,0,4.61
245,Luganville,VU,2022-04-03 21:02:13,-15.5333,167.1667,77.74,88,100,12.82
246,Mahajanga,MG,2022-04-03 21:02:13,-15.7167,46.3167,78.82,89,20,2.3
247,Naze,JP,2022-04-03 21:02:13,28.3667,129.4833,57.33,60,14,12.28
248,Rio Grande,BR,2022-04-03 21:02:14,-32.035,-52.0986,64.94,91,100,11.99
249,Machali,CL,2022-04-03 21:02:14,-34.1833,-70.6667,73.42,31,0,6.11
